county,precinct,office,district,candidate,party,votes
Ziebach,1 Bridger,President,,Kamala D. Harris and Tim Walz,DEM,12
Ziebach,1 Bridger,President,,Chase Oliver and Mike ter Maat,LIB,0
Ziebach,1 Bridger,President,,Donald J. Trump and JD Vance,REP,12
Ziebach,1 Bridger,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,1
Ziebach,2 Cherry Creek,President,,Kamala D. Harris and Tim Walz,DEM,48
Ziebach,2 Cherry Creek,President,,Chase Oliver and Mike ter Maat,LIB,0
Ziebach,2 Cherry Creek,President,,Donald J. Trump and JD Vance,REP,10
Ziebach,2 Cherry Creek,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,1
Ziebach,3 Davis,President,,Kamala D. Harris and Tim Walz,DEM,128
Ziebach,3 Davis,President,,Chase Oliver and Mike ter Maat,LIB,2
Ziebach,3 Davis,President,,Donald J. Trump and JD Vance,REP,75
Ziebach,3 Davis,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,9
Ziebach,4 Glad Valley,President,,Kamala D. Harris and Tim Walz,DEM,9
Ziebach,4 Glad Valley,President,,Chase Oliver and Mike ter Maat,LIB,0
Ziebach,4 Glad Valley,President,,Donald J. Trump and JD Vance,REP,54
Ziebach,4 Glad Valley,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,0
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",President,,Kamala D. Harris and Tim Walz,DEM,144
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",President,,Chase Oliver and Mike ter Maat,LIB,2
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",President,,Donald J. Trump and JD Vance,REP,219
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,9
Ziebach,7 Red Scaffold,President,,Kamala D. Harris and Tim Walz,DEM,25
Ziebach,7 Red Scaffold,President,,Chase Oliver and Mike ter Maat,LIB,0
Ziebach,7 Red Scaffold,President,,Donald J. Trump and JD Vance,REP,18
Ziebach,7 Red Scaffold,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,3
Ziebach,1 Bridger,U.S. House,1,Sheryl Johnson,DEM,12
Ziebach,1 Bridger,U.S. House,1,Dusty Johnson,REP,14
Ziebach,2 Cherry Creek,U.S. House,1,Sheryl Johnson,DEM,44
Ziebach,2 Cherry Creek,U.S. House,1,Dusty Johnson,REP,11
Ziebach,3 Davis,U.S. House,1,Sheryl Johnson,DEM,122
Ziebach,3 Davis,U.S. House,1,Dusty Johnson,REP,93
Ziebach,4 Glad Valley,U.S. House,1,Sheryl Johnson,DEM,9
Ziebach,4 Glad Valley,U.S. House,1,Dusty Johnson,REP,56
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",U.S. House,1,Sheryl Johnson,DEM,136
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",U.S. House,1,Dusty Johnson,REP,237
Ziebach,7 Red Scaffold,U.S. House,1,Sheryl Johnson,DEM,24
Ziebach,7 Red Scaffold,U.S. House,1,Dusty Johnson,REP,23
Ziebach,1 Bridger,Public Utilities Commissioner,,Forrest Wilson,DEM,13
Ziebach,1 Bridger,Public Utilities Commissioner,,A. Gideon Oakes,LIB,1
Ziebach,1 Bridger,Public Utilities Commissioner,,Kristie Fiegen,REP,11
Ziebach,2 Cherry Creek,Public Utilities Commissioner,,Forrest Wilson,DEM,41
Ziebach,2 Cherry Creek,Public Utilities Commissioner,,A. Gideon Oakes,LIB,3
Ziebach,2 Cherry Creek,Public Utilities Commissioner,,Kristie Fiegen,REP,10
Ziebach,3 Davis,Public Utilities Commissioner,,Forrest Wilson,DEM,116
Ziebach,3 Davis,Public Utilities Commissioner,,A. Gideon Oakes,LIB,18
Ziebach,3 Davis,Public Utilities Commissioner,,Kristie Fiegen,REP,75
Ziebach,4 Glad Valley,Public Utilities Commissioner,,Forrest Wilson,DEM,11
Ziebach,4 Glad Valley,Public Utilities Commissioner,,A. Gideon Oakes,LIB,1
Ziebach,4 Glad Valley,Public Utilities Commissioner,,Kristie Fiegen,REP,44
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",Public Utilities Commissioner,,Forrest Wilson,DEM,126
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",Public Utilities Commissioner,,A. Gideon Oakes,LIB,22
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",Public Utilities Commissioner,,Kristie Fiegen,REP,205
Ziebach,7 Red Scaffold,Public Utilities Commissioner,,Forrest Wilson,DEM,21
Ziebach,7 Red Scaffold,Public Utilities Commissioner,,A. Gideon Oakes,LIB,3
Ziebach,7 Red Scaffold,Public Utilities Commissioner,,Kristie Fiegen,REP,18
Ziebach,1 Bridger,State Senate,28,Dean Schrempp,DEM,11
Ziebach,1 Bridger,State Senate,28,Sam Marty,REP,10
Ziebach,1 Bridger,State Senate,28,Shane C. Farlee,IND,4
Ziebach,2 Cherry Creek,State Senate,28,Dean Schrempp,DEM,39
Ziebach,2 Cherry Creek,State Senate,28,Sam Marty,REP,7
Ziebach,2 Cherry Creek,State Senate,28,Shane C. Farlee,IND,12
Ziebach,3 Davis,State Senate,28,Dean Schrempp,DEM,106
Ziebach,3 Davis,State Senate,28,Sam Marty,REP,47
Ziebach,3 Davis,State Senate,28,Shane C. Farlee,IND,61
Ziebach,4 Glad Valley,State Senate,28,Dean Schrempp,DEM,12
Ziebach,4 Glad Valley,State Senate,28,Sam Marty,REP,36
Ziebach,4 Glad Valley,State Senate,28,Shane C. Farlee,IND,16
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",State Senate,28,Dean Schrempp,DEM,106
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",State Senate,28,Sam Marty,REP,130
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",State Senate,28,Shane C. Farlee,IND,138
Ziebach,7 Red Scaffold,State Senate,28,Dean Schrempp,DEM,19
Ziebach,7 Red Scaffold,State Senate,28,Sam Marty,REP,14
Ziebach,7 Red Scaffold,State Senate,28,Shane C. Farlee,IND,16
Ziebach,1 Bridger,State House,28A,Carl J. Petersen,REP,13
Ziebach,1 Bridger,State House,28A,Jana Hunt,DEM,13
Ziebach,2 Cherry Creek,State House,28A,Carl J. Petersen,REP,43
Ziebach,2 Cherry Creek,State House,28A,Jana Hunt,DEM,16
Ziebach,3 Davis,State House,28A,Carl J. Petersen,REP,135
Ziebach,3 Davis,State House,28A,Jana Hunt,DEM,82
Ziebach,4 Glad Valley,State House,28A,Carl J. Petersen,REP,9
Ziebach,4 Glad Valley,State House,28A,Jana Hunt,DEM,54
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",State House,28A,Carl J. Petersen,REP,129
Ziebach,"5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree)",State House,28A,Jana Hunt,DEM,239
Ziebach,7 Red Scaffold,State House,28A,Carl J. Petersen,REP,27
Ziebach,7 Red Scaffold,State House,28A,Jana Hunt,DEM,21
