county,precinct,office,district,candidate,party,votes
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota College,President,,Kamala D. Harris and Tim Walz,DEM,97
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota College,President,,Chase Oliver and Mike ter Maat,LIB,1
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota College,President,,Donald J. Trump and JD Vance,REP,47
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota College,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,1
Oglala Lakota,Brother Rene Hall,President,,Kamala D. Harris and Tim Walz,DEM,424
Oglala Lakota,Brother Rene Hall,President,,Chase Oliver and Mike ter Maat,LIB,3
Oglala Lakota,Brother Rene Hall,President,,Donald J. Trump and JD Vance,REP,46
Oglala Lakota,Brother Rene Hall,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,14
Oglala Lakota,"Christ the King Parish, Bill Pauly Hall",President,,Kamala D. Harris and Tim Walz,DEM,362
Oglala Lakota,"Christ the King Parish, Bill Pauly Hall",President,,Chase Oliver and Mike ter Maat,LIB,1
Oglala Lakota,"Christ the King Parish, Bill Pauly Hall",President,,Donald J. Trump and JD Vance,REP,45
Oglala Lakota,"Christ the King Parish, Bill Pauly Hall",President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,8
Oglala Lakota,Little Wound School,President,,Kamala D. Harris and Tim Walz,DEM,395
Oglala Lakota,Little Wound School,President,,Chase Oliver and Mike ter Maat,LIB,3
Oglala Lakota,Little Wound School,President,,Donald J. Trump and JD Vance,REP,55
Oglala Lakota,Little Wound School,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,6
Oglala Lakota,Red Shirt School,President,,Kamala D. Harris and Tim Walz,DEM,60
Oglala Lakota,Red Shirt School,President,,Chase Oliver and Mike ter Maat,LIB,0
Oglala Lakota,Red Shirt School,President,,Donald J. Trump and JD Vance,REP,21
Oglala Lakota,Red Shirt School,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,2
Oglala Lakota,Sacred Heart Church Hall,President,,Kamala D. Harris and Tim Walz,DEM,942
Oglala Lakota,Sacred Heart Church Hall,President,,Chase Oliver and Mike ter Maat,LIB,7
Oglala Lakota,Sacred Heart Church Hall,President,,Donald J. Trump and JD Vance,REP,140
Oglala Lakota,Sacred Heart Church Hall,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,26
Oglala Lakota,Wakan Tiospaye #12,President,,Kamala D. Harris and Tim Walz,DEM,79
Oglala Lakota,Wakan Tiospaye #12,President,,Chase Oliver and Mike ter Maat,LIB,1
Oglala Lakota,Wakan Tiospaye #12,President,,Donald J. Trump and JD Vance,REP,27
Oglala Lakota,Wakan Tiospaye #12,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,5
Oglala Lakota,Wounded Knee District School,President,,Kamala D. Harris and Tim Walz,DEM,208
Oglala Lakota,Wounded Knee District School,President,,Chase Oliver and Mike ter Maat,LIB,1
Oglala Lakota,Wounded Knee District School,President,,Donald J. Trump and JD Vance,REP,25
Oglala Lakota,Wounded Knee District School,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,10
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,President,,Kamala D. Harris and Tim Walz,DEM,97
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,President,,Chase Oliver and Mike ter Maat,LIB,1
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,President,,Donald J. Trump and JD Vance,REP,47
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,1
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",President,,Kamala D. Harris and Tim Walz,DEM,362
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",President,,Chase Oliver and Mike ter Maat,LIB,1
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",President,,Donald J. Trump and JD Vance,REP,45
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,8
Oglala Lakota,Wound Knee District School,President,,Kamala D. Harris and Tim Walz,DEM,208
Oglala Lakota,Wound Knee District School,President,,Chase Oliver and Mike ter Maat,LIB,1
Oglala Lakota,Wound Knee District School,President,,Donald J. Trump and JD Vance,REP,25
Oglala Lakota,Wound Knee District School,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,10
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,U.S. House,1,Sheryl Johnson,DEM,87
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,U.S. House,1,Dusty Johnson,REP,59
Oglala Lakota,Brother Renee Hall,U.S. House,1,Sheryl Johnson,DEM,362
Oglala Lakota,Brother Renee Hall,U.S. House,1,Dusty Johnson,REP,113
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",U.S. House,1,Sheryl Johnson,DEM,316
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",U.S. House,1,Dusty Johnson,REP,93
Oglala Lakota,Little Wound School,U.S. House,1,Sheryl Johnson,DEM,359
Oglala Lakota,Little Wound School,U.S. House,1,Dusty Johnson,REP,92
Oglala Lakota,Red Shirt School,U.S. House,1,Sheryl Johnson,DEM,51
Oglala Lakota,Red Shirt School,U.S. House,1,Dusty Johnson,REP,30
Oglala Lakota,Sacred Heart Church Hall,U.S. House,1,Sheryl Johnson,DEM,875
Oglala Lakota,Sacred Heart Church Hall,U.S. House,1,Dusty Johnson,REP,238
Oglala Lakota,Wakan Tiospaye #12 Community Building,U.S. House,1,Sheryl Johnson,DEM,72
Oglala Lakota,Wakan Tiospaye #12 Community Building,U.S. House,1,Dusty Johnson,REP,39
Oglala Lakota,Wound Knee District School Gym,U.S. House,1,Sheryl Johnson,DEM,191
Oglala Lakota,Wound Knee District School Gym,U.S. House,1,Dusty Johnson,REP,56
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,Public Utilities Commissioner,,Forrest Wilson,DEM,95
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,Public Utilities Commissioner,,A. Gideon Oakes,LIB,5
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,Public Utilities Commissioner,,Kristie Fiegen,REP,41
Oglala Lakota,Brother Renee Hall,Public Utilities Commissioner,,Forrest Wilson,DEM,380
Oglala Lakota,Brother Renee Hall,Public Utilities Commissioner,,A. Gideon Oakes,LIB,22
Oglala Lakota,Brother Renee Hall,Public Utilities Commissioner,,Kristie Fiegen,REP,43
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",Public Utilities Commissioner,,Forrest Wilson,DEM,328
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",Public Utilities Commissioner,,A. Gideon Oakes,LIB,23
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",Public Utilities Commissioner,,Kristie Fiegen,REP,44
Oglala Lakota,Little Wound School,Public Utilities Commissioner,,Forrest Wilson,DEM,362
Oglala Lakota,Little Wound School,Public Utilities Commissioner,,A. Gideon Oakes,LIB,30
Oglala Lakota,Little Wound School,Public Utilities Commissioner,,Kristie Fiegen,REP,42
Oglala Lakota,Red Shirt School,Public Utilities Commissioner,,Forrest Wilson,DEM,49
Oglala Lakota,Red Shirt School,Public Utilities Commissioner,,A. Gideon Oakes,LIB,4
Oglala Lakota,Red Shirt School,Public Utilities Commissioner,,Kristie Fiegen,REP,21
Oglala Lakota,Sacred Heart Church Hall,Public Utilities Commissioner,,Forrest Wilson,DEM,898
Oglala Lakota,Sacred Heart Church Hall,Public Utilities Commissioner,,A. Gideon Oakes,LIB,54
Oglala Lakota,Sacred Heart Church Hall,Public Utilities Commissioner,,Kristie Fiegen,REP,120
Oglala Lakota,Wakan Tiospaye #12 Community Building,Public Utilities Commissioner,,Forrest Wilson,DEM,73
Oglala Lakota,Wakan Tiospaye #12 Community Building,Public Utilities Commissioner,,A. Gideon Oakes,LIB,7
Oglala Lakota,Wakan Tiospaye #12 Community Building,Public Utilities Commissioner,,Kristie Fiegen,REP,24
Oglala Lakota,Wound Knee District School Gym,Public Utilities Commissioner,,Forrest Wilson,DEM,194
Oglala Lakota,Wound Knee District School Gym,Public Utilities Commissioner,,A. Gideon Oakes,LIB,11
Oglala Lakota,Wound Knee District School Gym,Public Utilities Commissioner,,Kristie Fiegen,REP,22
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,State Senate,27,Red Dawn Foster,DEM,103
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,State Senate,27,Anthony G. Kathol,REP,42
Oglala Lakota,Brother Rene Hall,State Senate,27,Red Dawn Foster,DEM,443
Oglala Lakota,Brother Rene Hall,State Senate,27,Anthony G. Kathol,REP,43
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",State Senate,27,Red Dawn Foster,DEM,380
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",State Senate,27,Anthony G. Kathol,REP,39
Oglala Lakota,Little Wound School,State Senate,27,Red Dawn Foster,DEM,410
Oglala Lakota,Little Wound School,State Senate,27,Anthony G. Kathol,REP,47
Oglala Lakota,Red Shirt School,State Senate,27,Red Dawn Foster,DEM,61
Oglala Lakota,Red Shirt School,State Senate,27,Anthony G. Kathol,REP,21
Oglala Lakota,Sacred Heart Church Hall,State Senate,27,Red Dawn Foster,DEM,1002
Oglala Lakota,Sacred Heart Church Hall,State Senate,27,Anthony G. Kathol,REP,115
Oglala Lakota,Makan Isna Oye #12 Community Building,State Senate,27,Red Dawn Foster,DEM,86
Oglala Lakota,Makan Isna Oye #12 Community Building,State Senate,27,Anthony G. Kathol,REP,25
Oglala Lakota,Wounded Knee District School Gym,State Senate,27,Red Dawn Foster,DEM,232
Oglala Lakota,Wounded Knee District School Gym,State Senate,27,Anthony G. Kathol,REP,16
Oglala Lakota,Brother Renee Hall,State Senate,27,Red Dawn Foster,DEM,443
Oglala Lakota,Brother Renee Hall,State Senate,27,Anthony G. Kathol,REP,43
Oglala Lakota,Wakan Tiospaye #12 Community Building,State Senate,27,Red Dawn Foster,DEM,86
Oglala Lakota,Wakan Tiospaye #12 Community Building,State Senate,27,Anthony G. Kathol,REP,25
Oglala Lakota,Wound Knee District School Gym,State Senate,27,Red Dawn Foster,DEM,232
Oglala Lakota,Wound Knee District School Gym,State Senate,27,Anthony G. Kathol,REP,16
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,State House,27,Peri Pourier,DEM,98
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,State House,27,Elsie Meeks,DEM,75
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,State House,27,Liz May,REP,48
Oglala Lakota,Brother Renee Hall,State House,27,Peri Pourier,DEM,389
Oglala Lakota,Brother Renee Hall,State House,27,Elsie Meeks,DEM,241
Oglala Lakota,Brother Renee Hall,State House,27,Liz May,REP,55
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",State House,27,Peri Pourier,DEM,349
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",State House,27,Elsie Meeks,DEM,238
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",State House,27,Liz May,REP,67
Oglala Lakota,Little Wound School,State House,27,Peri Pourier,DEM,362
Oglala Lakota,Little Wound School,State House,27,Elsie Meeks,DEM,268
Oglala Lakota,Little Wound School,State House,27,Liz May,REP,94
Oglala Lakota,Red Shirt School,State House,27,Peri Pourier,DEM,59
Oglala Lakota,Red Shirt School,State House,27,Elsie Meeks,DEM,38
Oglala Lakota,Red Shirt School,State House,27,Liz May,REP,22
Oglala Lakota,Sacred Heart Church Hall,State House,27,Peri Pourier,DEM,939
Oglala Lakota,Sacred Heart Church Hall,State House,27,Elsie Meeks,DEM,596
Oglala Lakota,Sacred Heart Church Hall,State House,27,Liz May,REP,133
Oglala Lakota,Wakan Tiospaye #12 Community Building,State House,27,Peri Pourier,DEM,76
Oglala Lakota,Wakan Tiospaye #12 Community Building,State House,27,Elsie Meeks,DEM,65
Oglala Lakota,Wakan Tiospaye #12 Community Building,State House,27,Liz May,REP,25
Oglala Lakota,Wound Knee District School Gym,State House,27,Peri Pourier,DEM,216
Oglala Lakota,Wound Knee District School Gym,State House,27,Elsie Meeks,DEM,133
Oglala Lakota,Wound Knee District School Gym,State House,27,Liz May,REP,31
Oglala Lakota,Brother Rene Hall,State House,27,Peri Pourier,DEM,389
Oglala Lakota,Brother Rene Hall,State House,27,Elsie Meeks,DEM,241
Oglala Lakota,Brother Rene Hall,State House,27,Liz May,REP,55
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,Supreme Court Retention,,Yes,,70
Oglala Lakota,Bill Conquering Bear Gymnasium/Oglala Lakota County Schools,Supreme Court Retention,,No,,52
Oglala Lakota,Brother Rene Hall,Supreme Court Retention,,Yes,,226
Oglala Lakota,Brother Rene Hall,Supreme Court Retention,,No,,217
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",Supreme Court Retention,,Yes,,171
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",Supreme Court Retention,,No,,200
Oglala Lakota,Little Wound School,Supreme Court Retention,,Yes,,195
Oglala Lakota,Little Wound School,Supreme Court Retention,,No,,209
Oglala Lakota,Red Shirt School,Supreme Court Retention,,Yes,,36
Oglala Lakota,Red Shirt School,Supreme Court Retention,,No,,31
Oglala Lakota,Sacred Heart Church Hall,Supreme Court Retention,,Yes,,478
Oglala Lakota,Sacred Heart Church Hall,Supreme Court Retention,,No,,492
Oglala Lakota,Wakan Tiospaye #12 Community Building,Supreme Court Retention,,Yes,,48
Oglala Lakota,Wakan Tiospaye #12 Community Building,Supreme Court Retention,,No,,48
Oglala Lakota,Wound Knee District School Gym,Supreme Court Retention,,Yes,,89
Oglala Lakota,Wound Knee District School Gym,Supreme Court Retention,,No,,128
Oglala Lakota,Bill Conquering Bear,Supreme Court Retention,,Shall Justice Scott P. Myren be retained?,YES,70
Oglala Lakota,Bill Conquering Bear,Supreme Court Retention,,Shall Justice Scott P. Myren be retained?,NO,52
Oglala Lakota,Gymnasium/Oglala Lakota County Schools,Supreme Court Retention,,Shall Justice Scott P. Myren be retained?,YES,226
Oglala Lakota,Gymnasium/Oglala Lakota County Schools,Supreme Court Retention,,Shall Justice Scott P. Myren be retained?,NO,217
Oglala Lakota,Brother Rene Hall,Supreme Court Retention,,Shall Justice Scott P. Myren be retained?,YES,171
Oglala Lakota,Brother Rene Hall,Supreme Court Retention,,Shall Justice Scott P. Myren be retained?,NO,200
Oglala Lakota,"Christ The King Parish, Bill Pauly Hall",Supreme Court Retention,,Shall Justice Scott P. Myren be retained?,YES,195
