office,district,candidate,party
ATTORNEY GENERAL,,CHAD HABER,
ATTORNEY GENERAL,,MARTY JACKLEY,
ATTORNEY GENERAL,,BALLOTS,
COMMISSIONER OF SCHOOL AND PUBLIC LANDS,,JOHN ENGLISH,
COMMISSIONER OF SCHOOL AND PUBLIC LANDS,,RYAN BRUNNER,
COMMISSIONER OF SCHOOL AND PUBLIC LANDS,,BALLOTS,
GOVERNOR,,DENNIS DAUGAARD,R
GOVERNOR,,MICHAEL J MYERS,
GOVERNOR,,SUSAN WISMER,D
GOVERNOR,,BALLOTS,
PUBLIC UTILITIES COMMISSIONER,,DAVID ALLEN,
PUBLIC UTILITIES COMMISSIONER,,GARY HANSON,
PUBLIC UTILITIES COMMISSIONER,,BALLOTS,
PUBLIC UTILITIES COMMISSIONER,,WAYNE SCHMIDT,
SECRETARY OF STATE,,ANGELIA SCHULTZ,D
SECRETARY OF STATE,,EMMETT REISTROFFER,
SECRETARY OF STATE,,LORI STACEY,
SECRETARY OF STATE,,SHANTEL KREBS,
SECRETARY OF STATE,,BALLOTS,
STATE AUDITOR,,KURT EVANS,
STATE AUDITOR,,STEVE BARNETT,
STATE AUDITOR,,BALLOTS,
STATE TREASURER,,DENNY PIERSON,
STATE TREASURER,,KEN SANTEMA,
STATE TREASURER,,RICH SATTGAST,
STATE TREASURER,,BALLOTS,
US HOUSE,1.0,CORINNA ROBINSON,D
US HOUSE,1.0,KRISTI NOEM,R
US HOUSE,1.0,BALLOTS,
US SENATE,,GORDON HOWIE,
US SENATE,,LARRY PRESSLER,
US SENATE,,MIKE ROUNDS,R
US SENATE,,RICK WEILAND,D
US SENATE,,BALLOTS,
