county,office,district,party,candidate,votes,,,
Aurora,U.S. House,1,D,Corinna Robinson,346,,,
Beadle,U.S. House,1,D,Corinna Robinson,1877,,,
Bennett,U.S. House,1,D,Corinna Robinson,335,,,
Bon Homme,U.S. House,1,D,Corinna Robinson,763,,,
Brookings,U.S. House,1,D,Corinna Robinson,3643,,,
Brown,U.S. House,1,D,Corinna Robinson,4805,,,
Brule,U.S. House,1,D,Corinna Robinson,495,,,
Buffalo,U.S. House,1,D,Corinna Robinson,281,,,
Butte,U.S. House,1,D,Corinna Robinson,676,,,
Campbell,U.S. House,1,D,Corinna Robinson,96,,,
Charles Mix,U.S. House,1,D,Corinna Robinson,1056,,,
Clark,U.S. House,1,D,Corinna Robinson,461,,,
Clay,U.S. House,1,D,Corinna Robinson,1875,,,
Codington,U.S. House,1,D,Corinna Robinson,2979,,,
Corson,U.S. House,1,D,Corinna Robinson,397,,,
Custer,U.S. House,1,D,Corinna Robinson,1004,,,
Davison,U.S. House,1,D,Corinna Robinson,1815,,,
Day,U.S. House,1,D,Corinna Robinson,1085,,,
Deuel,U.S. House,1,D,Corinna Robinson,590,,,
Dewey,U.S. House,1,D,Corinna Robinson,828,,,
Douglas,U.S. House,1,D,Corinna Robinson,190,,,
Edmunds,U.S. House,1,D,Corinna Robinson,454,,,
Fall River,U.S. House,1,D,Corinna Robinson,669,,,
Faulk,U.S. House,1,D,Corinna Robinson,210,,,
Grant,U.S. House,1,D,Corinna Robinson,906,,,
Gregory,U.S. House,1,D,Corinna Robinson,440,,,
Haakon,U.S. House,1,D,Corinna Robinson,95,,,
Hamlin,U.S. House,1,D,Corinna Robinson,593,,,
Hand,U.S. House,1,D,Corinna Robinson,372,,,
Hanson,U.S. House,1,D,Corinna Robinson,324,,,
Harding,U.S. House,1,D,Corinna Robinson,51,,,
Hughes,U.S. House,1,D,Corinna Robinson,1975,,,
Hutchinson,U.S. House,1,D,Corinna Robinson,557,,,
Hyde,U.S. House,1,D,Corinna Robinson,147,,,
Jackson,U.S. House,1,D,Corinna Robinson,274,,,
Jerauld,U.S. House,1,D,Corinna Robinson,275,,,
Jones,U.S. House,1,D,Corinna Robinson,70,,,
Kingsbury,U.S. House,1,D,Corinna Robinson,726,,,
Lake,U.S. House,1,D,Corinna Robinson,1654,,,
Lawrence,U.S. House,1,D,Corinna Robinson,2707,,,
Lincoln,U.S. House,1,D,Corinna Robinson,4951,,,
Lyman,U.S. House,1,D,Corinna Robinson,409,,,
Marshall,U.S. House,1,D,Corinna Robinson,699,,,
McCook,U.S. House,1,D,Corinna Robinson,591,,,
McPherson,U.S. House,1,D,Corinna Robinson,183,,,
Meade,U.S. House,1,D,Corinna Robinson,1905,,,
Mellette,U.S. House,1,D,Corinna Robinson,246,,,
Miner,U.S. House,1,D,Corinna Robinson,284,,,
Minnehaha,U.S. House,1,D,Corinna Robinson,20520,,,
Moody,U.S. House,1,D,Corinna Robinson,901,,,
Pennington,U.S. House,1,D,Corinna Robinson,10125,,,
Perkins,U.S. House,1,D,Corinna Robinson,222,,,
Potter,U.S. House,1,D,Corinna Robinson,227,,,
Roberts,U.S. House,1,D,Corinna Robinson,1398,,,
Sanborn,U.S. House,1,D,Corinna Robinson,239,,,
Shannon,U.S. House,1,D,Corinna Robinson,2243,,,
Spink,U.S. House,1,D,Corinna Robinson,870,,,
Stanley,U.S. House,1,D,Corinna Robinson,319,,,
Sully,U.S. House,1,D,Corinna Robinson,137,,,
Todd,U.S. House,1,D,Corinna Robinson,1529,,,
Tripp,U.S. House,1,D,Corinna Robinson,500,,,
Turner,U.S. House,1,D,Corinna Robinson,928,,,
Union,U.S. House,1,D,Corinna Robinson,1403,,,
Walworth,U.S. House,1,D,Corinna Robinson,430,,,
Yankton,U.S. House,1,D,Corinna Robinson,2846,,,
Ziebach,U.S. House,1,D,Corinna Robinson,284,,,
TOTAL,U.S. House,1,D,Corinna Robinson,92485,,,
Aurora,U.S. House,1,R,Kristi Noem,794,,,
Beadle,U.S. House,1,R,Kristi Noem,3710,,,
Bennett,U.S. House,1,R,Kristi Noem,585,,,
Bon Homme,U.S. House,1,R,Kristi Noem,1631,,,
Brookings,U.S. House,1,R,Kristi Noem,5559,,,
Brown,U.S. House,1,R,Kristi Noem,7128,,,
Brule,U.S. House,1,R,Kristi Noem,1265,,,
Buffalo,U.S. House,1,R,Kristi Noem,172,,,
Butte,U.S. House,1,R,Kristi Noem,2521,,,
Campbell,U.S. House,1,R,Kristi Noem,529,,,
Charles Mix,U.S. House,1,R,Kristi Noem,2130,,,
Clark,U.S. House,1,R,Kristi Noem,1043,,,
Clay,U.S. House,1,R,Kristi Noem,1851,,,
Codington,U.S. House,1,R,Kristi Noem,6105,,,
Corson,U.S. House,1,R,Kristi Noem,520,,,
Custer,U.S. House,1,R,Kristi Noem,2713,,,
Davison,U.S. House,1,R,Kristi Noem,4214,,,
Day,U.S. House,1,R,Kristi Noem,1312,,,
Deuel,U.S. House,1,R,Kristi Noem,1184,,,
Dewey,U.S. House,1,R,Kristi Noem,651,,,
Douglas,U.S. House,1,R,Kristi Noem,1119,,,
Edmunds,U.S. House,1,R,Kristi Noem,1250,,,
Fall River,U.S. House,1,R,Kristi Noem,2262,,,
Faulk,U.S. House,1,R,Kristi Noem,669,,,
Grant,U.S. House,1,R,Kristi Noem,1981,,,
Gregory,U.S. House,1,R,Kristi Noem,1373,,,
Haakon,U.S. House,1,R,Kristi Noem,764,,,
Hamlin,U.S. House,1,R,Kristi Noem,1639,,,
Hand,U.S. House,1,R,Kristi Noem,1120,,,
Hanson,U.S. House,1,R,Kristi Noem,1009,,,
Harding,U.S. House,1,R,Kristi Noem,558,,,
Hughes,U.S. House,1,R,Kristi Noem,4899,,,
Hutchinson,U.S. House,1,R,Kristi Noem,2206,,,
Hyde,U.S. House,1,R,Kristi Noem,457,,,
Jackson,U.S. House,1,R,Kristi Noem,643,,,
Jerauld,U.S. House,1,R,Kristi Noem,557,,,
Jones,U.S. House,1,R,Kristi Noem,398,,,
Kingsbury,U.S. House,1,R,Kristi Noem,1372,,,
Lake,U.S. House,1,R,Kristi Noem,3175,,,
Lawrence,U.S. House,1,R,Kristi Noem,6168,,,
Lincoln,U.S. House,1,R,Kristi Noem,11837,,,
Lyman,U.S. House,1,R,Kristi Noem,826,,,
Marshall,U.S. House,1,R,Kristi Noem,1022,,,
McCook,U.S. House,1,R,Kristi Noem,1452,,,
McPherson,U.S. House,1,R,Kristi Noem,830,,,
Meade,U.S. House,1,R,Kristi Noem,6410,,,
Mellette,U.S. House,1,R,Kristi Noem,426,,,
Miner,U.S. House,1,R,Kristi Noem,586,,,
Minnehaha,U.S. House,1,R,Kristi Noem,33281,,,
Moody,U.S. House,1,R,Kristi Noem,1471,,,
Pennington,U.S. House,1,R,Kristi Noem,23350,,,
Perkins,U.S. House,1,R,Kristi Noem,1113,,,
Potter,U.S. House,1,R,Kristi Noem,931,,,
Roberts,U.S. House,1,R,Kristi Noem,1819,,,
Sanborn,U.S. House,1,R,Kristi Noem,626,,,
Shannon,U.S. House,1,R,Kristi Noem,507,,,
Spink,U.S. House,1,R,Kristi Noem,1648,,,
Stanley,U.S. House,1,R,Kristi Noem,950,,,
Sully,U.S. House,1,R,Kristi Noem,545,,,
Todd,U.S. House,1,R,Kristi Noem,632,,,
Tripp,U.S. House,1,R,Kristi Noem,1691,,,
Turner,U.S. House,1,R,Kristi Noem,2339,,,
Union,U.S. House,1,R,Kristi Noem,3693,,,
Walworth,U.S. House,1,R,Kristi Noem,1489,,,
Yankton,U.S. House,1,R,Kristi Noem,4778,,,
Ziebach,U.S. House,1,R,Kristi Noem,346,,,
TOTAL,U.S. House,1,R,Kristi Noem,183834,,,
Aurora,U.S. House,1,,Total,1140,,,
Beadle,U.S. House,1,,Total,5587,,,
Bennett,U.S. House,1,,Total,920,,,
Bon Homme,U.S. House,1,,Total,2394,,,
Brookings,U.S. House,1,,Total,9202,,,
Brown,U.S. House,1,,Total,11933,,,
Brule,U.S. House,1,,Total,1760,,,
Buffalo,U.S. House,1,,Total,453,,,
Butte,U.S. House,1,,Total,3197,,,
Campbell,U.S. House,1,,Total,625,,,
Charles Mix,U.S. House,1,,Total,3186,,,
Clark,U.S. House,1,,Total,1504,,,
Clay,U.S. House,1,,Total,3726,,,
Codington,U.S. House,1,,Total,9084,,,
Corson,U.S. House,1,,Total,917,,,
Custer,U.S. House,1,,Total,3717,,,
Davison,U.S. House,1,,Total,6029,,,
Day,U.S. House,1,,Total,2397,,,
Deuel,U.S. House,1,,Total,1774,,,
Dewey,U.S. House,1,,Total,1479,,,
Douglas,U.S. House,1,,Total,1309,,,
Edmunds,U.S. House,1,,Total,1704,,,
Fall River,U.S. House,1,,Total,2931,,,
Faulk,U.S. House,1,,Total,879,,,
Grant,U.S. House,1,,Total,2887,,,
Gregory,U.S. House,1,,Total,1813,,,
Haakon,U.S. House,1,,Total,859,,,
Hamlin,U.S. House,1,,Total,2232,,,
Hand,U.S. House,1,,Total,1492,,,
Hanson,U.S. House,1,,Total,1333,,,
Harding,U.S. House,1,,Total,609,,,
Hughes,U.S. House,1,,Total,6874,,,
Hutchinson,U.S. House,1,,Total,2763,,,
Hyde,U.S. House,1,,Total,604,,,
Jackson,U.S. House,1,,Total,917,,,
Jerauld,U.S. House,1,,Total,832,,,
Jones,U.S. House,1,,Total,468,,,
Kingsbury,U.S. House,1,,Total,2098,,,
Lake,U.S. House,1,,Total,4829,,,
Lawrence,U.S. House,1,,Total,8875,,,
Lincoln,U.S. House,1,,Total,16788,,,
Lyman,U.S. House,1,,Total,1235,,,
Marshall,U.S. House,1,,Total,1721,,,
McCook,U.S. House,1,,Total,2043,,,
McPherson,U.S. House,1,,Total,1013,,,
Meade,U.S. House,1,,Total,8315,,,
Mellette,U.S. House,1,,Total,672,,,
Miner,U.S. House,1,,Total,870,,,
Minnehaha,U.S. House,1,,Total,53801,,,
Moody,U.S. House,1,,Total,2372,,,
Pennington,U.S. House,1,,Total,33475,,,
Perkins,U.S. House,1,,Total,1335,,,
Potter,U.S. House,1,,Total,1158,,,
Roberts,U.S. House,1,,Total,3217,,,
