office,district,candidate,party
PRESIDENT,,DONALD J TRUMP,REP
PRESIDENT,,JO JORGENSEN,LIB
PRESIDENT,,JOSEPH R BIDEN,DEM
PUBLIC UTILITIES COMMISSIONER,,DEVIN SAXON,LIB
PUBLIC UTILITIES COMMISSIONER,,GARY HANSON,REP
PUBLIC UTILITIES COMMISSIONER,,REMI WB BALD EAGLE,DEM
STATE HOUSE,1,JENNIFER HEALY KEINTZ,DEM
STATE HOUSE,1,STEVEN D MCCLEEREY,DEM
STATE HOUSE,1,TAMARA ST JOHN,REP
STATE HOUSE,10,DOUG BARTHEL,REP
STATE HOUSE,10,MICHELLE L HENTSCHEL,DEM
STATE HOUSE,10,STEVEN HAUGAARD,REP
STATE HOUSE,11,CHRIS KARR,REP
STATE HOUSE,11,MARGARET M KUIPERS,DEM
STATE HOUSE,11,MARK WILLADSEN,REP
STATE HOUSE,11,SHERYL JOHNSON,DEM
STATE HOUSE,12,ARCH BEAL,REP
STATE HOUSE,12,ERIN ROYER,DEM
STATE HOUSE,12,GREG JAMISON,REP
STATE HOUSE,13,KELLY A SULLIVAN,DEM
STATE HOUSE,13,NORMAN B BLISS,DEM
STATE HOUSE,13,RICHARD L THOMASON,REP
STATE HOUSE,13,SUE PETERSON,REP
STATE HOUSE,14,ERIN HEALY,DEM
STATE HOUSE,14,MIKE HUBER,DEM
STATE HOUSE,14,TAYLOR RAE REHFELDT,REP
STATE HOUSE,14,TOM HOLMES,REP
STATE HOUSE,15,COLE HEISEY,REP
STATE HOUSE,15,JAMIE SMITH,DEM
STATE HOUSE,15,LINDA DUBA,DEM
STATE HOUSE,15,MATT ROSBURG,REP
STATE HOUSE,16,DAVID L ANDERSON,REP
STATE HOUSE,16,KEVIN D JENSEN,REP
STATE HOUSE,17,AL LEBER,DEM
STATE HOUSE,17,CAITLIN F COLLIER,DEM
STATE HOUSE,17,RICHARD VASGAARD,REP
STATE HOUSE,17,SYDNEY DAVIS,REP
STATE HOUSE,18,MIKE STEVENS,REP
STATE HOUSE,18,RYAN CWACH,DEM
STATE HOUSE,19,KENT PETERSON,REP
STATE HOUSE,19,MARTY OVERWEG,REP
STATE HOUSE,2,KALEB W WEIS,REP
STATE HOUSE,2,LANA GREENFIELD,REP
STATE HOUSE,20,LANCE KOTH,REP
STATE HOUSE,20,PAUL R MISKIMINS,REP
STATE HOUSE,21,CALEB FINCK,REP
STATE HOUSE,21,JESSICA HEGGE,DEM
STATE HOUSE,21,ROCKY BLARE,REP
STATE HOUSE,22,C JOHN MCENELLY,DEM
STATE HOUSE,22,LYNN SCHNEIDER,REP
STATE HOUSE,22,MARK S SMITH,DEM
STATE HOUSE,22,ROGER CHASE,REP
STATE HOUSE,23,CHARLIE HOFFMAN,REP
STATE HOUSE,23,SPENCER GOSCH,REP
STATE HOUSE,24,AMANDA BACHMANN,DEM
STATE HOUSE,24,MIKE WEISGRAM,REP
STATE HOUSE,24,WILL D MORTENSON,REP
STATE HOUSE,25,JARED NIEUWENHUIS,DEM
STATE HOUSE,25,JEFF BARTH,DEM
STATE HOUSE,25,JON HANSEN,REP
STATE HOUSE,25,TOM PISCHKE,REP
STATE HOUSE,26A,SHAWN BORDEAUX,DEM
STATE HOUSE,26B,REBECCA L REIMER,REP
STATE HOUSE,26B,TIM FELICIANO,DEM
STATE HOUSE,27,ERNEST WESTON JR,DEM
STATE HOUSE,27,LIZ MAY,REP
STATE HOUSE,27,PERI POURIER,DEM
STATE HOUSE,28A,OREN LEE LESMEISTER,DEM
STATE HOUSE,28B,SAM MARTY,REP
STATE HOUSE,29,DEAN WINK,REP
STATE HOUSE,29,JADE ADDISON,IND
STATE HOUSE,29,KIRK J CHAFFEE,REP
STATE HOUSE,3,CARL E PERRY,REP
STATE HOUSE,3,DREW DENNERT,REP
STATE HOUSE,3,JUSTIN ROEMMICK,DEM
STATE HOUSE,3,LESLIE MCLAUGHLIN,DEM
STATE HOUSE,30,TIM R GOODWIN,REP
STATE HOUSE,30,TRISH LADNER,REP
STATE HOUSE,31,BROOKE ABDALLAH,DEM
STATE HOUSE,31,MARY FITZGERALD,REP
