county,precinct,office,district,candidate,party,votes,,,
Davidson,1,President,,Donald J. Trump,REP,219,,,
Davidson,2,President,,Donald J. Trump,REP,311,,,
Davidson,3,President,,Donald J. Trump,REP,472,,,
Davidson, 4/5,President,,Donald J. Trump,REP,485,,,
Davidson, 6/7,President,,Donald J. Trump,REP,571,,,
Davidson,8,President,,Donald J. Trump,REP,280,,,
Davidson,9,President,,Donald J. Trump,REP,250,,,
Davidson,10,President,,Donald J. Trump,REP,249,,,
Davidson,11,President,,Donald J. Trump,REP,250,,,
Davidson, 12/13,President,,Donald J. Trump,REP,354,,,
Davidson,14,President,,Donald J. Trump,REP,218,,,
Davidson,15,President,,Donald J. Trump,REP,358,,,
Davidson,16,President,,Donald J. Trump,REP,211,,,
Davidson, 17/18,President,,Donald J. Trump,REP,192,,,
Davidson,19,President,,Donald J. Trump,REP,278,,,
Davidson,20,President,,Donald J. Trump,REP,459,,,
Davidson,Total,President,,Donald J. Trump,REP,5157,,,
Davidson,1,President,,Gary Johnson,LIB,6,,,
Davidson,2,President,,Gary Johnson,LIB,17,,,
Davidson,3,President,,Gary Johnson,LIB,25,,,
Davidson, 4/5,President,,Gary Johnson,LIB,27,,,
Davidson, 6/7,President,,Gary Johnson,LIB,22,,,
Davidson,8,President,,Gary Johnson,LIB,25,,,
Davidson,9,President,,Gary Johnson,LIB,29,,,
Davidson,10,President,,Gary Johnson,LIB,17,,,
Davidson,11,President,,Gary Johnson,LIB,19,,,
Davidson, 12/13,President,,Gary Johnson,LIB,27,,,
Davidson,14,President,,Gary Johnson,LIB,16,,,
Davidson,15,President,,Gary Johnson,LIB,30,,,
Davidson,16,President,,Gary Johnson,LIB,17,,,
Davidson, 17/18,President,,Gary Johnson,LIB,12,,,
Davidson,19,President,,Gary Johnson,LIB,26,,,
Davidson,20,President,,Gary Johnson,LIB,34,,,
Davidson,Total,President,,Gary Johnson,LIB,349,,,
Davidson,1,President,,Hillary Clinton,DEM,62,,,
Davidson,2,President,,Hillary Clinton,DEM,52,,,
Davidson,3,President,,Hillary Clinton,DEM,151,,,
Davidson, 4/5,President,,Hillary Clinton,DEM,145,,,
Davidson, 6/7,President,,Hillary Clinton,DEM,276,,,
Davidson,8,President,,Hillary Clinton,DEM,134,,,
Davidson,9,President,,Hillary Clinton,DEM,139,,,
Davidson,10,President,,Hillary Clinton,DEM,133,,,
Davidson,11,President,,Hillary Clinton,DEM,139,,,
Davidson, 12/13,President,,Hillary Clinton,DEM,194,,,
Davidson,14,President,,Hillary Clinton,DEM,128,,,
Davidson,15,President,,Hillary Clinton,DEM,175,,,
Davidson,16,President,,Hillary Clinton,DEM,133,,,
Davidson, 17/18,President,,Hillary Clinton,DEM,133,,,
Davidson,19,President,,Hillary Clinton,DEM,130,,,
Davidson,20,President,,Hillary Clinton,DEM,231,,,
Davidson,Total,President,,Hillary Clinton,DEM,2355,,,
Davidson,1,President,,Darrell L. Castle,CON,1,,,
Davidson,2,President,,Darrell L. Castle,CON,3,,,
Davidson,3,President,,Darrell L. Castle,CON,8,,,
Davidson, 4/5,President,,Darrell L. Castle,CON,10,,,
Davidson, 6/7,President,,Darrell L. Castle,CON,5,,,
Davidson,8,President,,Darrell L. Castle,CON,6,,,
Davidson,9,President,,Darrell L. Castle,CON,5,,,
Davidson,10,President,,Darrell L. Castle,CON,6,,,
Davidson,11,President,,Darrell L. Castle,CON,4,,,
Davidson, 12/13,President,,Darrell L. Castle,CON,2,,,
Davidson,14,President,,Darrell L. Castle,CON,7,,,
Davidson,15,President,,Darrell L. Castle,CON,3,,,
Davidson,16,President,,Darrell L. Castle,CON,4,,,
Davidson, 17/18,President,,Darrell L. Castle,CON,7,,,
Davidson,19,President,,Darrell L. Castle,CON,9,,,
Davidson,20,President,,Darrell L. Castle,CON,11,,,
Davidson,Total,President,,Darrell L. Castle,CON,91,,,
