,office,district,candidate,party
0,COUNTY COMMISSIONER,2,CHRIS SASS,IND
1,COUNTY COMMISSIONER,2,ERIC J CAULFIELD,IND
2,COUNTY COMMISSIONER,3,CLYDE DETHLEFSEN,REP
3,COUNTY COMMISSIONER,3,KARL SWANSON,IND
4,PRESIDENT,,CALINTON,DEM
5,PRESIDENT,,DARRELL L CASTLE,CON
6,PRESIDENT,,DONALD J TRUMP,REP
7,PRESIDENT,,GARY JOHNSON,LIB
8,PRESIDENT,,HILLARY CLINTON,DEM
9,PRESIDENT,,JOHNSON ND WELD,LIB
10,PUBLIC UTILITIES COMMISSIONER,,CHRIS NELSON,REP
11,PUBLIC UTILITIES COMMISSIONER,,HENRY RED CLOUD,DEM
12,STATE ATTORNEY,,DAVID V NATVIG,REP
13,STATE ATTORNEY,,THERESA MAULE ROSSOW,IND
14,STATE HOUSE,1,STEVEN D MCCLEEREY,DEM
15,STATE HOUSE,1,SUSAN WISMER,DEM
16,STATE HOUSE,10,DEAN KURTZ,DEM
17,STATE HOUSE,10,DON HAGGAR,REP
18,STATE HOUSE,10,PAUL VANDERLINDE,DEM
19,STATE HOUSE,10,STEVEN HAUGAARD,REP
20,STATE HOUSE,11,CHRIS KARR,REP
21,STATE HOUSE,11,LEONA WIELAND,DEM
22,STATE HOUSE,11,MARK WILLADSEN,REP
23,STATE HOUSE,11,PAUL SCHIPPER,DEM
24,STATE HOUSE,12,ARCH BEAL,DEM
25,STATE HOUSE,12,BOB BENSON,DEM
26,STATE HOUSE,12,CLARA HART,DEM
27,STATE HOUSE,12,GREG JAMISON,REP
28,STATE HOUSE,12,SUSAN RNDALL,DEM
29,STATE HOUSE,13,ELLEE SPAWN,DEM
30,STATE HOUSE,13,G MARK MICKELSON,REP
31,STATE HOUSE,13,P JAMES ECKNOFF JR,DEM
32,STATE HOUSE,13,SUE K LUCAS PETERSON,REP
33,STATE HOUSE,14,JR LAPLANTE,DEM
34,STATE HOUSE,14,LARRY ZIKMUND,REP
35,STATE HOUSE,14,TOM HOLMES,REP
36,STATE HOUSE,14,VALERIE LOUDENBACK,DEM
37,STATE HOUSE,15,ERIC LEGGETT,IND
38,STATE HOUSE,15,JAMIE SMITH,DEM
39,STATE HOUSE,15,KAREN SOLI,DEM
40,STATE HOUSE,15,MIKE KYERS,IND
41,STATE HOUSE,16,ANN TORNBERG,DEM
42,STATE HOUSE,16,DAVID L ANDERSON,REP
43,STATE HOUSE,16,KEVIN D JENSEN,REP
44,STATE HOUSE,16,TED CURRY,DEM
45,STATE HOUSE,17,DEBBIE PEASE,REP
46,STATE HOUSE,17,MARK WINEGAR,DEM
47,STATE HOUSE,17,NANCY RASMUSSEN,REP
48,STATE HOUSE,17,RAY RING,DEM
49,STATE HOUSE,18,DAVID ALLEN,DEM
50,STATE HOUSE,18,JEAN M HUNHOFF,REP
51,STATE HOUSE,18,MIKE STEVENS,REP
52,STATE HOUSE,18,PETER ROSSITER,DEM
53,STATE HOUSE,19,KENT S PETERSON,REP
54,STATE HOUSE,19,KYLE SCHOENFISH,REP
55,STATE HOUSE,19,MELISSA R MENTELE,DEM
56,STATE HOUSE,2,BURT TULSON,REP
57,STATE HOUSE,2,JOHN GRAHAM,DEM
58,STATE HOUSE,2,LANA GREENFIELD,REP
59,STATE HOUSE,20,LANCE CARSON,REP
60,STATE HOUSE,20,QUINTEN L BURG,DEM
61,STATE HOUSE,20,TONA ROZAN,REP
62,STATE HOUSE,20,TONA ROZUM,REP
63,STATE HOUSE,21,GARY BURNS,DEM
64,STATE HOUSE,21,JULIE BARTLING,DEM
65,STATE HOUSE,21,LEE QUALM,REP
66,STATE HOUSE,22,BOB GLANZER,REP
67,STATE HOUSE,22,CARMEN DANNENBRING,DEM
68,STATE HOUSE,22,JOAN WOLISCHLAGER,DEM
69,STATE HOUSE,22,ROGER CHASE,REP
70,STATE HOUSE,23,JOHN A LAKE,REP
71,STATE HOUSE,23,SPENCER GOSCH,REP
72,STATE HOUSE,24,MARY DUVALL,REP
73,STATE HOUSE,24,TIM ROUNDS,REP
74,STATE HOUSE,25,DAN AHLERS,DEM
75,STATE HOUSE,25,DAVID HAAGENSON,DEM
76,STATE HOUSE,25,ROGER HUNT,REP
77,STATE HOUSE,25,TOM PISCHKE,REP
78,STATE HOUSE,26A,SHAWN BORDEAUX,DEM
79,STATE HOUSE,26B,JAMES SCHAEFER,REP
80,STATE HOUSE,27,ELIZABETH MAY,REP
81,STATE HOUSE,27,EVERETTE L MCKINLEY,IND
82,STATE HOUSE,27,JIM BRADFORD,DEM
83,STATE HOUSE,27,RED DAWN FOSTER,DEM
84,STATE HOUSE,27,STEVE LIVERMONT,REP
85,STATE HOUSE,28A,OREN LESMEISTER,DEM
86,STATE HOUSE,28B,SAM MARTY,REP
87,STATE HOUSE,29,LARRY RHODEN,REP
88,STATE HOUSE,29,THOMAS J BRUNNER,REP
89,STATE HOUSE,3,BROOKS BRISCOE,DEM
90,STATE HOUSE,3,DANIEL KAISER,REP
91,STATE HOUSE,3,DREW DENNERT,REP
92,STATE HOUSE,3,NIKKI BOOTZ,DEM
93,STATE HOUSE,30,JULIE FRYE MUELLER,REP
94,STATE HOUSE,30,KRISTINE INA WINTER,DEM
95,STATE HOUSE,30,SANDY ARSENEAULT,DEM
96,STATE HOUSE,30,TIM R GOODWIN,REP
97,STATE HOUSE,31,CHARLES M TURBIVILLE,REP
98,STATE HOUSE,31,TIMOTHY R JOHNS,REP
99,STATE HOUSE,32,KRISTIN A CONZET,REP
100,STATE HOUSE,32,NIK ABERLE,DEM
101,STATE HOUSE,32,SEAN MCPHERSON,REP
102,STATE HOUSE,32,SUSAN KELTS,DEM
103,STATE HOUSE,33,DAVID JOHNSON,REP
104,STATE HOUSE,33,ETHAN MARSLAND,DEM
105,STATE HOUSE,33,JIM HADD,DEM
106,STATE HOUSE,33,TAFFY HOWARD,REP
107,STATE HOUSE,34,CRAIG TIESZEN,REP
108,STATE HOUSE,34,DAN DRYDEN,REP
109,STATE HOUSE,34,STEVE STENSON,DEM
110,STATE HOUSE,35,BLAINE CHIP CAMPBELL,REP
111,STATE HOUSE,35,DAVE FREYTAG,DEM
112,STATE HOUSE,35,LYNNE DISANTO,REP
113,STATE HOUSE,35,MICHAEL T HANSON,DEM
114,STATE HOUSE,4,JASON W KETTWIG,REP
115,STATE HOUSE,4,JOHN MILLS,REP
116,STATE HOUSE,4,MATT ROSDAHL,DEM
117,STATE HOUSE,4,PEGGY SCHUELKE,DEM
118,STATE HOUSE,5,CHARLES CHUCK HAAN,IND
119,STATE HOUSE,5,HUGH M BARTELS,REP
120,STATE HOUSE,5,MICHELE ALVINE,DEM
121,STATE HOUSE,5,NANCY YORK,REP
122,STATE HOUSE,6,HERMAN OTTEN,REP
123,STATE HOUSE,6,ISAAC LTTERELL,REP
124,STATE HOUSE,6,KYLE ROGERS,DEM
125,STATE HOUSE,7,LINDA A BRANDT,DEM
126,STATE HOUSE,7,SPENCER HAWLEY,DEM
127,STATE HOUSE,7,TIM REED,REP
128,STATE HOUSE,8,JASON UNGER,DEM
129,STATE HOUSE,8,KORY RAWSTERN,DEM
130,STATE HOUSE,8,LESLIE HEINEMANN,REP
131,STATE HOUSE,8,MATHEW WOLLMANN,REP
132,STATE HOUSE,9,MARK GUTHMILLER,DEM
133,STATE HOUSE,9,MICHAEL CLARK,REP
134,STATE HOUSE,9,MICHAEL SABA,DEM
135,STATE HOUSE,9,WAYNE STEINHAUER,REP
136,STATE SENATE,1,JASON FRERICHS,DEM
137,STATE SENATE,10,JENNA HAGGAR,REP
138,STATE SENATE,10,JIM POWERS,DEM
139,STATE SENATE,11,JIM STALZER,REP
140,STATE SENATE,11,TOM COOL,DEM
141,STATE SENATE,12,ARCH BEAL,REP
142,STATE SENATE,12,BLAKE HURD,DEM
143,STATE SENATE,12,BOB BENSON,DEM
144,STATE SENATE,12,GREG JAMISON,REP
145,STATE SENATE,12,JIM SANDEN,DEM
146,STATE SENATE,12,SUSAN RANDALL,DEM
147,STATE SENATE,13,DENNY PIERSON,DEM
148,STATE SENATE,13,ELLEE SPAWN,DEM
149,STATE SENATE,13,JACK KOLBECK,REP
150,STATE SENATE,13,JAMES ECKHOFF JR,DEM
151,STATE SENATE,13,MARK MICKELSON,REP
152,STATE SENATE,13,SUE LUCAS PETERSON,REP
153,STATE SENATE,14,DEB SOHOLT,REP
154,STATE SENATE,14,TYLER SWANGER,IND
155,STATE SENATE,15,REYNOLD NESIBA,DEM
156,STATE SENATE,16,CHAD SKILES,DEM
157,STATE SENATE,16,JIM BOLIN,REP
158,STATE SENATE,17,ARTHUR RUSCH,REP
159,STATE SENATE,17,SHANE MERRILL,DEM
160,STATE SENATE,18,CRAIG KENNEDY,DEM
161,STATE SENATE,19,RUSSELL GRAEFF,DEM
162,STATE SENATE,19,STACE NELSON,REP
163,STATE SENATE,2,BROCK L GREENFIELD,REP
164,STATE SENATE,20,JOSHUA KLUMB,REP
165,STATE SENATE,20,QUINTEN L BURG,DEM
166,STATE SENATE,21,BILLIE H SUTTON,DEM
167,STATE SENATE,22,ERIC BLISS,DEM
168,STATE SENATE,22,JIM WHITE,REP
169,STATE SENATE,23,JUSTIN R CRONIN,REP
170,STATE SENATE,24,JEFF MONROE,REP
171,STATE SENATE,25,JEFF BARTH,DEM
172,STATE SENATE,25,KRIS LANGER,REP
173,STATE SENATE,26,TROY HEINERT,DEM
174,STATE SENATE,27,KEVIN KILLER,DEM
175,STATE SENATE,28,RYAN M MAHER,REP
176,STATE SENATE,29,GARY L CAMMACK,REP
177,STATE SENATE,29,LEROY KINDLER,IND
178,STATE SENATE,3,AL NOVSTRUP,REP
179,STATE SENATE,3,CORY ALLEN HEIDELBERGER,DEM
180,STATE SENATE,30,KARLA R LARIVE,DEM
181,STATE SENATE,30,LANCE RUSSELL,REP
182,STATE SENATE,31,BOB EWING,REP
183,STATE SENATE,32,ALAN D SOLANO,REP
184,STATE SENATE,32,DAVID A HUBBARD,DEM
185,STATE SENATE,33,HAVEN STUCK,DEM
186,STATE SENATE,33,PHIL JENSEN,REP
187,STATE SENATE,34,JAY C SHULTZ,DEM
188,STATE SENATE,34,JEFFREY D PARTRIDGE,REP
189,STATE SENATE,35,TERRI L HAVERLY,REP
190,STATE SENATE,4,JOHN WIIK,REP
191,STATE SENATE,4,KATHY TYLER,DEM
192,STATE SENATE,5,NEAL TAPIO,REP
193,STATE SENATE,6,ERNIE OTTEN,REP
194,STATE SENATE,6,KYLE C BOESE,DEM
195,STATE SENATE,7,LARRY TIDEMANN,REP
196,STATE SENATE,7,MARY J PERPICH,DEM
197,STATE SENATE,8,JORDAN YOUNGBERG,REP
198,STATE SENATE,8,SCOTT PARSLEY,DEM
199,STATE SENATE,9,DEB PETERS,REP
200,STATE SENATE,9,JOHN KOCH,DEM
201,STATES ATTORNEY,,ALEXIS A TRACY,REP
202,STATES ATTORNEY,,TEDDI J GERTSMA,DEM
203,US HOUSE,1,KRISTI NOEM,REP
204,US HOUSE,1,PAULA HAWKS,DEM
205,US SENATE,,JAY WILLIAMS,DEM
206,US SENATE,,JOHN R THUNE,REP
