iteration,ind,old,new,office
0,0,CLINTON,HILLARY CLINTON,PRESIDENT
0,1,JOHNSON,GARY JOHNSON,PRESIDENT
0,2,JOHN THUNE,JOHN R THUNE,US SENATE
0,3,DARRELL CASTLE,DARRELL L CASTLE,PRESIDENT
0,4,CASTLE,DARRELL L CASTLE,PRESIDENT
0,5,DONALD TRUMP,DONALD J TRUMP,PRESIDENT
0,6,TRUMP,DONALD J TRUMP,PRESIDENT
0,7,MATT ROSDAHI,MATT ROSDAHL,STATE HOUSE
0,8,PEGGY SHUELKE,PEGGY SCHUELKE,STATE HOUSE
0,9,BILLIE SUTTON,BILLIE H SUTTON,STATE SENATE
0,10,TROY HELNERT,TROY HEINERT,STATE SENATE
0,11,MATHEW WOLLMAN,MATHEW WOLLMANN,STATE HOUSE
0,12,KEVIN MILLER,KEVIN KILLER,STATE SENATE
0,13,EVERETTE MCKINLEY,EVERETTE L MCKINLEY,STATE HOUSE
0,14,STEVEN MCCLEEREY,STEVEN D MCCLEEREY,STATE HOUSE
0,15,STEVE MCCLEEREY,STEVEN D MCCLEEREY,STATE HOUSE
0,16,MELISSA MENTELE,MELISSA R MENTELE,STATE HOUSE
0,17,KENT PETERSON,KENT S PETERSON,STATE HOUSE
0,18,RED DAWN,RED DAWN FOSTER,STATE HOUSE
0,19,JOHN WICK,JOHN WIIK,STATE SENATE
0,20,JOHNSON,JOHNSON ND WELD,PRESIDENT
0,21,CLINTON,CALINTON,PRESIDENT
0,22,KRISTINA INA WINTER,KRISTINE INA WINTER,STATE HOUSE
0,23,GRAY BURNS,GARY BURNS,STATE HOUSE
0,24,GARY BURRUS,GARY BURNS,STATE HOUSE
0,25,KEVIN JENSEN,KEVIN D JENSEN,STATE HOUSE
0,26,JIMM HADD,JIM HADD,STATE HOUSE
0,27,JOAN WOLLSCHLAGER,JOAN WOLISCHLAGER,STATE HOUSE
0,28,DEBBLE PEASE,DEBBIE PEASE,STATE HOUSE
0,29,NANCY RAMUSSEN,NANCY RASMUSSEN,STATE HOUSE
0,30,SHAWN BOURDEAUX,SHAWN BORDEAUX,STATE HOUSE
0,31,BLAKE CURD,BLAKE HURD,STATE SENATE
