county,office,district,candidate,party,county_votes,precinct_votes,diff
Brown,Constitutional Amendment E,,No,,9728,9676,52
Brown,Constitutional Amendment E,,Yes,,7061,7054,7
Brown,Constitutional Amendment F,,No,,7105,7116,-11
Brown,Constitutional Amendment F,,Yes,,9646,9465,181
Brown,Constitutional Amendment G,,No,,9990,10154,-164
Brown,Constitutional Amendment G,,Yes,,6990,7081,-91
Brown,Constitutional Amendment H,,Yes,,5616,5615,1
Brown,Initiated Measure 28,,No,,11909,11879,30
Brown,Initiated Measure 28,,Yes,,4847,4837,10
Brown,State House,1,Christopher K. Reder,REP,0,2216,-2216
Brown,State House,1,Christopher Reder,REP,2219,0,2219
Brown,State House,1,Josh Dennert,LIB,668,648,20
Brown,State House,1,Logan Manhart,REP,2427,2413,14
Brown,State House,1,Mark D. Smith,DEM,0,1509,-1509
Brown,State House,1,Mark Sumption,DEM,1563,0,1563
Brown,State House,1,Steven D. McCleerey,DEM,983,999,-16
Brown,State House,1,Tamara Lesnar,LIB,148,239,-91
Brown,State House,23,Spencer Gosch,REP,655,652,3
Brown,State House,3,Al Novstrup,REP,5738,5740,-2
Brown,State House,3,Brandei Schaefbauer,REP,6049,0,6049
Brown,State House,3,Brandell M. Schaefbauer,REP,0,6036,-6036
Brown,State House,3,Erin R Rudner,DEM,4515,0,4515
Brown,State House,3,Erin R. Budner,DEM,0,4518,-4518
Brown,Supreme Court Retention,5,Do Not Retain Justice Scott P. Myren,,0,2380,-2380
Brown,Supreme Court Retention,5,No,,2380,0,2380
Brown,Supreme Court Retention,5,Retain Justice Scott P. Myren,,0,12441,-12441
Brown,Supreme Court Retention,5,Yes,,12367,0,12367
Brown,U.S. House,1,Dusty Johnson,REP,11974,11874,100
Brule,Constitutional Amendment H,,No,,1720,0,1720
Brule,Constitutional Amendment H,,Yes,,662,0,662
Brule,Constitutional Amendment I,,No,,0,1720,-1720
Brule,Constitutional Amendment I,,Yes,,0,662,-662
Brule,President,,Chase Oliver and Mike ter Maat,LIB,17,34,-17
Brule,President,,Donald J. Trump and JD Vance,REP,1694,3388,-1694
Brule,President,,Kamala D. Harris and Tim Walz,DEM,666,1332,-666
Brule,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,46,92,-46
Brule,State House,21,David Reis,IND,0,1782,-1782
Brule,State House,21,Rebecca Reimer,REP,0,2904,-2904
Brule,State House,26B,David Reis,IND,891,0,891
Brule,State House,26B,Rebecca Reimer,REP,1452,0,1452
Brule,State Senate,26,Tamara Grove,REP,1644,0,1644
Brule,State Senate,26,Tamara St. John,REP,0,1644,-1644
Brule,Supreme Court Retention,5,No,,439,878,-439
Brule,Supreme Court Retention,5,Yes,,1646,3292,-1646
Brule,U.S. House,1,Dusty Johnson,REP,1881,3763,-1882
Brule,U.S. House,1,Sheryl Johnson,DEM,526,1052,-526
Butte,Constitutional Amendment E,,No,,3525,63,3462
Butte,Constitutional Amendment E,,Yes,,1487,10,1477
Butte,Constitutional Amendment F,,No,,1953,25,1928
Butte,Constitutional Amendment F,,Yes,,3050,37,3013
Butte,Constitutional Amendment G,,No,,3378,95,3283
Butte,Constitutional Amendment G,,Yes,,1654,14,1640
Butte,Constitutional Amendment H,,No,,3402,125,3277
Butte,Constitutional Amendment H,,Yes,,1467,10,1457
Butte,Initiated Measure 28,,No,,3502,120,3382
Butte,Initiated Measure 28,,Yes,,1468,16,1452
Butte,Initiated Measure 29,,No,,3243,119,3124
Butte,Initiated Measure 29,,Yes,,1802,21,1781
Butte,President,,Chase Oliver and Mike ter Maat,LIB,37,30,7
Butte,President,,Donald J. Trump and JD Vance,REP,4024,3258,766
Butte,President,,Kamala D. Harris and Tim Walz,DEM,942,784,158
Butte,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,79,74,5
Butte,Public Utilities Commissioner,,A. Gideon Oakes,LIB,326,394,-68
Butte,Public Utilities Commissioner,,Forrest Wilson,DEM,735,750,-15
Butte,Public Utilities Commissioner,,Kristie Fiegen,REP,3719,3557,162
Butte,Referred Law 21,,No,,3058,40,3018
Butte,Referred Law 21,,Yes,,1823,2,1821
Butte,State House,28B,Travis Ismay,REP,3646,3053,593
Butte,State Senate,28,Dean Schrempp,DEM,745,703,42
Butte,State Senate,28,Sam Marty,REP,3720,3597,123
Butte,State Senate,28,Shane C. Farlee,IND,370,309,61
Butte,Supreme Court Retention,5,No,,764,0,764
Butte,Supreme Court Retention,5,Yes,,3413,0,3413
Butte,Supreme Court Retention,Fifth,Scott P. Myren (No),,0,709,-709
Butte,Supreme Court Retention,Fifth,Scott P. Myren (Yes),,0,3318,-3318
Butte,U.S. House,1,Dusty Johnson,REP,4066,3525,541
Butte,U.S. House,1,Sheryl Johnson,DEM,838,808,30
Campbell,President,,Chase Oliver and Mike ter Maat,LIB,5,0,5
Campbell,President,,Chase Oliver and Miket ter Maat,LIB,0,5,-5
Campbell,Public Utilities Commissioner,,A. Gideon Oakes,LIB,26,23,3
Charles Mix,Constitutional Amendment E,,No,,2445,1984,461
Charles Mix,Constitutional Amendment E,,Yes,,1142,1020,122
Charles Mix,Constitutional Amendment F,,No,,2082,1884,198
Charles Mix,Constitutional Amendment F,,Yes,,1504,1203,301
Charles Mix,Constitutional Amendment G,,No,,2621,2487,134
Charles Mix,Constitutional Amendment G,,Yes,,992,908,84
Charles Mix,Constitutional Amendment H,,No,,2714,2584,130
Charles Mix,Constitutional Amendment H,,Yes,,822,765,57
Charles Mix,Initiated Measure 28,,No,,2842,1924,918
