county,precinct,office,district,party,candidate,vote
Meade,EAST STURGIS #1,US House,1,Lbt,George Hendrickson,3
Meade,SOUTHEAST STURGIS #2,US House,1,Lbt,George Hendrickson,7
Meade,CENTRAL STURGIS #3,US House,1,Lbt,George Hendrickson,4
Meade,WEST STURGIS #4,US House,1,Lbt,George Hendrickson,6
Meade,NORTHWEST STURGIS #5,US House,1,Lbt,George Hendrickson,12
Meade,TILFORD #6,US House,1,Lbt,George Hendrickson,4
Meade,RURAL STURGIS #7,US House,1,Lbt,George Hendrickson,4
Meade,HARMONY #8,US House,1,Lbt,George Hendrickson,7
Meade,BEAR BUTTE #9,US House,1,Lbt,George Hendrickson,7
Meade,SUMMERSET #10,US House,1,Lbt,George Hendrickson,17
Meade,PIEDMONT #11,US House,1,Lbt,George Hendrickson,11
Meade,EAST PIEDMONT #12,US House,1,Lbt,George Hendrickson,5
Meade,SOUTHEAST PIEDMONT #13,US House,1,Lbt,George Hendrickson,20
Meade,BLACK HAWK #14,US House,1,Lbt,George Hendrickson,15
Meade,RURAL BLACK HAWK #15,US House,1,Lbt,George Hendrickson,5
Meade,WEST BLACK HAWK #16,US House,1,Lbt,George Hendrickson,7
Meade,VIEWFIELD #17,US House,1,Lbt,George Hendrickson,0
Meade,ELM SPRINGS #18,US House,1,Lbt,George Hendrickson,3
Meade,CENTRAL BLACK HAWK #19,US House,1,Lbt,George Hendrickson,10
Meade,HEREFORD #20,US House,1,Lbt,George Hendrickson,0
Meade,ELK VALE #21,US House,1,Lbt,George Hendrickson,10
Meade,BASE #23,US House,1,Lbt,George Hendrickson,6
Meade,WEST ELK VALE #24,US House,1,Lbt,George Hendrickson,4
Meade,WHITE OWL #25,US House,1,Lbt,George Hendrickson,1
Meade,CHALK BUTTE #27,US House,1,Lbt,George Hendrickson,3
Meade,FAIRPOINT #29,US House,1,Lbt,George Hendrickson,0
Meade,RED OWL #30,US House,1,Lbt,George Hendrickson,0
Meade,FAITH #31,US House,1,Lbt,George Hendrickson,2
Meade,PINE #33,US House,1,Lbt,George Hendrickson,5
