county,precinct,office,district,party,candidate,votes,,,
Miner,Precinct-1,US House,1,LIB,George D.Hendrickson,4,,,
Miner,Precinct-2,US House,1,LIB,George D.Hendrickson,1,,,
Miner,Precinct-3,US House,1,LIB,George D.Hendrickson,0,,,
Miner,Precinct-4,US House,1,LIB,George D.Hendrickson,1,,,
Miner,Precinct-5,US House,1,LIB,George D.Hendrickson,1,,,
Miner,Precinct-6,US House,1,LIB,George D.Hendrickson,3,,,
Miner,Precinct-7,US House,1,LIB,George D.Hendrickson,1,,,
Miner,Precinct-8,US House,1,LIB,George D.Hendrickson,2,,,
Miner,Precinct-1,US House,1,REP,Dusty Johnson,69,,,
Miner,Precinct-2,US House,1,REP,Dusty Johnson,70,,,
Miner,Precinct-3,US House,1,REP,Dusty Johnson,60,,,
Miner,Precinct-4,US House,1,REP,Dusty Johnson,84,,,
Miner,Precinct-5,US House,1,REP,Dusty Johnson,45,,,
Miner,Precinct-6,US House,1,REP,Dusty Johnson,126,,,
Miner,Precinct-7,US House,1,REP,Dusty Johnson,113,,,
Miner,Precinct-8,US House,1,REP,Dusty Johnson,75,,,
Miner,Precinct-1,US House,1,DEM,Tim Bjorkman,62,,,
Miner,Precinct-2,US House,1,DEM,Tim Bjorkman,53,,,
Miner,Precinct-3,US House,1,DEM,Tim Bjorkman,46,,,
Miner,Precinct-4,US House,1,DEM,Tim Bjorkman,55,,,
Miner,Precinct-5,US House,1,DEM,Tim Bjorkman,30,,,
Miner,Precinct-6,US House,1,DEM,Tim Bjorkman,55,,,
Miner,Precinct-7,US House,1,DEM,Tim Bjorkman,78,,,
Miner,Precinct-8,US House,1,DEM,Tim Bjorkman,34,,,
Miner,Precinct-1,US House,1,IND,Ron Wieczorek,2,,,
Miner,Precinct-2,US House,1,IND,Ron Wieczorek,2,,,
Miner,Precinct-3,US House,1,IND,Ron Wieczorek,5,,,
Miner,Precinct-4,US House,1,IND,Ron Wieczorek,6,,,
Miner,Precinct-5,US House,1,IND,Ron Wieczorek,7,,,
Miner,Precinct-6,US House,1,IND,Ron Wieczorek,2,,,
Miner,Precinct-7,US House,1,IND,Ron Wieczorek,6,,,
Miner,Precinct-8,US House,1,IND,Ron Wieczorek,1,,,
Miner,Precinct-1,Governor,,LIB,Kurt Evans,2,,,
Miner,Precinct-2,Governor,,LIB,Kurt Evans,0,,,
