votes,district,candidate,office,county,party,precinct
Hamlin,2,U.S. House,1,LIB,George D. Hendrickson,0
Hamlin,21,U.S. House,1,LIB,George D. Hendrickson,7
Hamlin,22,U.S. House,1,LIB,George D. Hendrickson,3
Hamlin,23,U.S. House,1,LIB,George D. Hendrickson,3
Hamlin,24,U.S. House,1,LIB,George D. Hendrickson,6
Hamlin,25,U.S. House,1,LIB,George D. Hendrickson,5
Hamlin,26,U.S. House,1,LIB,George D. Hendrickson,3
Hamlin,2,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",117
Hamlin,21,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",464
Hamlin,22,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",110
Hamlin,23,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",218
Hamlin,24,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",451
Hamlin,25,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",267
Hamlin,26,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",312
Hamlin,2,U.S. House,1,DEM,Tim Bjorkman,22
Hamlin,21,U.S. House,1,DEM,Tim Bjorkman,211
Hamlin,22,U.S. House,1,DEM,Tim Bjorkman,15
Hamlin,23,U.S. House,1,DEM,Tim Bjorkman,67
Hamlin,24,U.S. House,1,DEM,Tim Bjorkman,154
Hamlin,25,U.S. House,1,DEM,Tim Bjorkman,175
Hamlin,26,U.S. House,1,DEM,Tim Bjorkman,51
Hamlin,2,U.S. House,1,IND,Ron Wieczorek,0
Hamlin,21,U.S. House,1,IND,Ron Wieczorek,12
Hamlin,22,U.S. House,1,IND,Ron Wieczorek,0
Hamlin,23,U.S. House,1,IND,Ron Wieczorek,3
Hamlin,24,U.S. House,1,IND,Ron Wieczorek,12
Hamlin,25,U.S. House,1,IND,Ron Wieczorek,15
Hamlin,26,U.S. House,1,IND,Ron Wieczorek,5
Hamlin,2,Governor,,LIB,Kurt Evans,0
Hamlin,21,Governor,,LIB,Kurt Evans,4
Hamlin,22,Governor,,LIB,Kurt Evans,3
Hamlin,23,Governor,,LIB,Kurt Evans,4
Hamlin,24,Governor,,LIB,Kurt Evans,5
Hamlin,25,Governor,,LIB,Kurt Evans,9
Hamlin,26,Governor,,LIB,Kurt Evans,4
Hamlin,2,Governor,,REP,Kristi Noem,104
Hamlin,21,Governor,,REP,Kristi Noem,430
Hamlin,22,Governor,,REP,Kristi Noem,109
Hamlin,23,Governor,,REP,Kristi Noem,188
Hamlin,24,Governor,,REP,Kristi Noem,429
Hamlin,25,Governor,,REP,Kristi Noem,221
Hamlin,26,Governor,,REP,Kristi Noem,283
Hamlin,2,Governor,,DEM,Billie Sutton,33
