iteration,ind,old,new,office
0,0,RANDY SELLER,RANDY SEILER,ATTORNEY GENERAL
0,1,DUSTY JOHNSON,DUSTIN DUSTY JOHNSON,US HOUSE
0,2,JOHN WILK,JOHN WIIK,STATE SENATE
0,3,JUSTIN CRONIN,JUSTIN R CRONIN,STATE SENATE
0,4,GARY CAMMACK,GARY L CAMMACK,STATE SENATE
0,5,RYAN MAHER,RYAN M MAHER,STATE SENATE
0,6,ROCKY BLARE,ROCKY DALE BLARE,STATE SENATE
0,7,SUSAN WISMER,SUSAN M WISMER,STATE SENATE
0,8,AMANDA BACHMAN,AMANDA BACHMANN,STATE SENATE
0,9,HOWARD GRINAGER,HOWARD GRINAGAR,STATE SENATE
0,10,GIDEON OAKES,A GIDEON OAKES,STATE SENATE
0,11,JORDAN YOUNGBERT,JORDAN YOUNGBERG,STATE SENATE
