,office,candidate
0,STATE SENATE,A GIDEON OAKES
1,STATE SENATE,AL NOVSTRUP
2,STATE SENATE,ALLI MORAN
3,STATE SENATE,AMANDA BACHMANN
4,STATE SENATE,ARDON WEK
5,STATE SENATE,ARTHUR RUSCH
6,STATE SENATE,BILL HINES
7,STATE SENATE,BLAKE CURD
8,STATE SENATE,BROCK L GREENFIELD
9,STATE SENATE,CORY ALLEN HEIDELBERGER
10,STATE SENATE,DAN MILLER
11,STATE SENATE,DENNIS EVENSON
12,STATE SENATE,ELIZABETH MERRIGAN
13,STATE SENATE,ERIC BLISS
14,STATE SENATE,ERNIE OTTEN
15,STATE SENATE,GARY L CAMMACK
16,STATE SENATE,HOWARD GRINAGAR
17,STATE SENATE,JACK KOLBECK
18,STATE SENATE,JAMES WHITE
19,STATE SENATE,JEFF MONROE
20,STATE SENATE,JIM BOLIN
21,STATE SENATE,JOE YRACHETA
22,STATE SENATE,JOEL KOSKAN
23,STATE SENATE,JOHN WIIK
24,STATE SENATE,JORDAN YOUNGBERG
25,STATE SENATE,JOSHUA KLUMB
26,STATE SENATE,JULIE BARTLING
27,STATE SENATE,JUSTIN R CRONIN
28,STATE SENATE,KASEY OLIVIER
29,STATE SENATE,KRISTINE INA WINTER
30,STATE SENATE,LANCE STEVEN RUSSELL
31,STATE SENATE,MARY J PERPICH
32,STATE SENATE,MATT KAMMERER
33,STATE SENATE,MELISSA HIATT
34,STATE SENATE,PAUL REGISTER
35,STATE SENATE,PHIL JENSEN
36,STATE SENATE,RED DAWN FOSTER
37,STATE SENATE,ROCKY DALE BLARE
38,STATE SENATE,RYAN A RYDER
39,STATE SENATE,RYAN M MAHER
40,STATE SENATE,SCOTT PARSLEY
41,STATE SENATE,STACE NELSON
42,STATE SENATE,SUSAN M WISMER
43,STATE SENATE,TERESA ANN ROBBINS
44,STATE SENATE,TROY HEINERT
45,STATE SENATE,VJ SMITH
46,GOVERNOR,BILLIE SUTTON
47,GOVERNOR,KRISTI NOEM
48,GOVERNOR,KURT EVANS
49,US HOUSE,DUSTIN DUSTY JOHNSON
50,US HOUSE,GEORGE D HENDRICKSON
51,US HOUSE,RON WIECZOREK
52,US HOUSE,TIM BJORKMAN
53,ATTORNEY GENERAL,JASON RAVNSBORG
54,ATTORNEY GENERAL,RANDY SEILER
