county,precinct,office,district,party,candidate,votes,,,,
Ziebach,Precinct-1 Bridger,US House,1,LIB,George D.Hendrickson,0,,,,
Ziebach,Precinct-2 Cherry Creek,US House,1,LIB,George D.Hendrickson,2,,,,
Ziebach,Precinct-3 Davis,US House,1,LIB,George D.Hendrickson,6,,,,
Ziebach,Precinct-4 Glad Valley,US House,1,LIB,George D.Hendrickson,1,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",US House,1,LIB,George D.Hendrickson,4,,,,
Ziebach,Precinct-7 Red Scaffold,US House,1,LIB,George D.Hendrickson,0,,,,
Ziebach,Precinct-1 Bridger,US House,1,REP,Dusty Johnson,8,,,,
Ziebach,Precinct-2 Cherry Creek,US House,1,REP,Dusty Johnson,14,,,,
Ziebach,Precinct-3 Davis,US House,1,REP,Dusty Johnson,65,,,,
Ziebach,Precinct-4 Glad Valley,US House,1,REP,Dusty Johnson,47,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",US House,1,REP,Dusty Johnson,187,,,,
Ziebach,Precinct-7 Red Scaffold,US House,1,REP,Dusty Johnson,19,,,,
Ziebach,Precinct-1 Bridger,US House,1,DEM,Tim Bjorkman,27,,,,
Ziebach,Precinct-2 Cherry Creek,US House,1,DEM,Tim Bjorkman,50,,,,
Ziebach,Precinct-3 Davis,US House,1,DEM,Tim Bjorkman,145,,,,
Ziebach,Precinct-4 Glad Valley,US House,1,DEM,Tim Bjorkman,12,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",US House,1,DEM,Tim Bjorkman,145,,,,
Ziebach,Precinct-7 Red Scaffold,US House,1,DEM,Tim Bjorkman,38,,,,
Ziebach,Precinct-1 Bridger,US House,1,IND,Ron Wieczorek,2,,,,
Ziebach,Precinct-2 Cherry Creek,US House,1,IND,Ron Wieczorek,4,,,,
Ziebach,Precinct-3 Davis,US House,1,IND,Ron Wieczorek,5,,,,
Ziebach,Precinct-4 Glad Valley,US House,1,IND,Ron Wieczorek,1,,,,
Ziebach,"Precinct-5 North Dupree (Precinct-6 Redelm, Precinct-8 South Dupree",US House,1,IND,Ron Wieczorek,13,,,,
Ziebach,Precinct-7 Red Scaffold,US House,1,IND,Ron Wieczorek,2,,,,
