votes,district,candidate,office,county,party,precinct
Haakon,1,U.S. House,1,LIB,George D. Hendrickson,5
Haakon,4,U.S. House,1,LIB,George D. Hendrickson,2
Haakon,16,U.S. House,1,LIB,George D. Hendrickson,2
Haakon,17,U.S. House,1,LIB,George D. Hendrickson,2
Haakon,19,U.S. House,1,LIB,George D. Hendrickson,2
Haakon,20,U.S. House,1,LIB,George D. Hendrickson,0
Haakon,1,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",73
Haakon,4,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",111
Haakon,16,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",164
Haakon,17,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",147
Haakon,19,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",155
Haakon,20,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",146
Haakon,1,U.S. House,1,DEM,Tim Bjorkman,13
Haakon,4,U.S. House,1,DEM,Tim Bjorkman,12
Haakon,16,U.S. House,1,DEM,Tim Bjorkman,18
Haakon,17,U.S. House,1,DEM,Tim Bjorkman,29
Haakon,19,U.S. House,1,DEM,Tim Bjorkman,26
Haakon,20,U.S. House,1,DEM,Tim Bjorkman,19
Haakon,1,U.S. House,1,IND,Ron Wieczorek,0
Haakon,4,U.S. House,1,IND,Ron Wieczorek,2
Haakon,16,U.S. House,1,IND,Ron Wieczorek,3
Haakon,17,U.S. House,1,IND,Ron Wieczorek,2
Haakon,19,U.S. House,1,IND,Ron Wieczorek,3
Haakon,20,U.S. House,1,IND,Ron Wieczorek,4
Haakon,1,Governor,,LIB,Kurt Evans,2
Haakon,4,Governor,,LIB,Kurt Evans,1
Haakon,16,Governor,,LIB,Kurt Evans,4
Haakon,17,Governor,,LIB,Kurt Evans,4
Haakon,19,Governor,,LIB,Kurt Evans,2
Haakon,20,Governor,,LIB,Kurt Evans,2
Haakon,1,Governor,,REP,Kristi Noem,62
Haakon,4,Governor,,REP,Kristi Noem,103
Haakon,16,Governor,,REP,Kristi Noem,154
Haakon,17,Governor,,REP,Kristi Noem,136
Haakon,19,Governor,,REP,Kristi Noem,143
Haakon,20,Governor,,REP,Kristi Noem,136
Haakon,1,Governor,,DEM,Billie Sutton,27
Haakon,4,Governor,,DEM,Billie Sutton,23
Haakon,16,Governor,,DEM,Billie Sutton,27
Haakon,17,Governor,,DEM,Billie Sutton,42
Haakon,19,Governor,,DEM,Billie Sutton,44
Haakon,20,Governor,,DEM,Billie Sutton,33
Haakon,1,Secretary of State,,REP,Steve Barnett,83
Haakon,4,Secretary of State,,REP,Steve Barnett,119
Haakon,16,Secretary of State,,REP,Steve Barnett,162
