votes,district,candidate,office,county,party,precinct
McCook,1,U.S. House,1,LIB,George D. Hendrickson,3
McCook,2,U.S. House,1,LIB,George D. Hendrickson,1
McCook,3,U.S. House,1,LIB,George D. Hendrickson,4
McCook,4,U.S. House,1,LIB,George D. Hendrickson,2
McCook,5,U.S. House,1,LIB,George D. Hendrickson,8
McCook,6,U.S. House,1,LIB,George D. Hendrickson,2
McCook,1,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",247
McCook,2,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",75
McCook,3,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",262
McCook,4,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",264
McCook,5,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",329
McCook,6,U.S. House,1,REP,"Dustin ""Dusty"" Johnson",196
McCook,1,U.S. House,1,DEM,Tim Bjorkman,214
McCook,2,U.S. House,1,DEM,Tim Bjorkman,59
McCook,3,U.S. House,1,DEM,Tim Bjorkman,255
McCook,4,U.S. House,1,DEM,Tim Bjorkman,166
McCook,5,U.S. House,1,DEM,Tim Bjorkman,242
McCook,6,U.S. House,1,DEM,Tim Bjorkman,111
McCook,1,U.S. House,1,IND,Ron Wieczorek,11
McCook,2,U.S. House,1,IND,Ron Wieczorek,6
McCook,3,U.S. House,1,IND,Ron Wieczorek,8
McCook,4,U.S. House,1,IND,Ron Wieczorek,3
McCook,5,U.S. House,1,IND,Ron Wieczorek,7
McCook,6,U.S. House,1,IND,Ron Wieczorek,9
McCook,1,Governor,,LIB,Kurt Evans,7
McCook,2,Governor,,LIB,Kurt Evans,4
McCook,3,Governor,,LIB,Kurt Evans,12
McCook,4,Governor,,LIB,Kurt Evans,6
McCook,5,Governor,,LIB,Kurt Evans,6
McCook,6,Governor,,LIB,Kurt Evans,4
McCook,1,Governor,,REP,Kristi Noem,243
McCook,2,Governor,,REP,Kristi Noem,65
McCook,3,Governor,,REP,Kristi Noem,294
McCook,4,Governor,,REP,Kristi Noem,312
McCook,5,Governor,,REP,Kristi Noem,284
McCook,6,Governor,,REP,Kristi Noem,177
McCook,1,Governor,,DEM,Billie Sutton,231
McCook,2,Governor,,DEM,Billie Sutton,72
McCook,3,Governor,,DEM,Billie Sutton,220
McCook,4,Governor,,DEM,Billie Sutton,121
McCook,5,Governor,,DEM,Billie Sutton,300
McCook,6,Governor,,DEM,Billie Sutton,139
McCook,1,Secretary of State,,REP,Steve Barnett,302
McCook,2,Secretary of State,,REP,Steve Barnett,89
McCook,3,Secretary of State,,REP,Steve Barnett,356
