county,office,district,party,candidate,votes
Aurora,President,,DEM,Marianne Williamson,16
Aurora,President,,DEM,Joseph R Biden Jr,21
Aurora,President,,DEM,Dean Phillips,16
Aurora,President,,DEM,Armando Perez-Serrato,3
Beadle,President,,DEM,Marianne Williamson,33
Beadle,President,,DEM,Joseph R Biden Jr,154
Beadle,President,,DEM,Dean Phillips,36
Beadle,President,,DEM,Armando Perez-Serrato,11
Bennett,President,,DEM,Marianne Williamson,11
Bennett,President,,DEM,Joseph R Biden Jr,35
Bennett,President,,DEM,Dean Phillips,8
Bennett,President,,DEM,Armando Perez-Serrato,4
Bon Homme,President,,DEM,Marianne Williamson,28
Bon Homme,President,,DEM,Joseph R Biden Jr,98
Bon Homme,President,,DEM,Dean Phillips,26
Bon Homme,President,,DEM,Armando Perez-Serrato,2
Brookings,President,,DEM,Marianne Williamson,54
Brookings,President,,DEM,Joseph R Biden Jr,446
Brookings,President,,DEM,Dean Phillips,38
Brookings,President,,DEM,Armando Perez-Serrato,13
Brown,President,,DEM,Marianne Williamson,105
Brown,President,,DEM,Joseph R Biden Jr,524
Brown,President,,DEM,Dean Phillips,111
Brown,President,,DEM,Armando Perez-Serrato,38
Brule,President,,DEM,Marianne Williamson,28
Brule,President,,DEM,Joseph R Biden Jr,95
Brule,President,,DEM,Dean Phillips,24
Brule,President,,DEM,Armando Perez-Serrato,8
Buffalo,President,,DEM,Marianne Williamson,6
Buffalo,President,,DEM,Joseph R Biden Jr,20
Buffalo,President,,DEM,Dean Phillips,4
Buffalo,President,,DEM,Armando Perez-Serrato,6
Butte,President,,DEM,Marianne Williamson,41
Butte,President,,DEM,Joseph R Biden Jr,106
Butte,President,,DEM,Dean Phillips,28
Butte,President,,DEM,Armando Perez-Serrato,18
Campbell,President,,DEM,Marianne Williamson,4
Campbell,President,,DEM,Joseph R Biden Jr,17
Campbell,President,,DEM,Dean Phillips,2
Campbell,President,,DEM,Armando Perez-Serrato,2
Charles Mix,President,,DEM,Marianne Williamson,29
Charles Mix,President,,DEM,Joseph R Biden Jr,103
Charles Mix,President,,DEM,Dean Phillips,30
Charles Mix,President,,DEM,Armando Perez-Serrato,10
Clark,President,,DEM,Marianne Williamson,15
Clark,President,,DEM,Joseph R Biden Jr,44
Clark,President,,DEM,Dean Phillips,15
Clark,President,,DEM,Armando Perez-Serrato,6
Clay,President,,DEM,Marianne Williamson,44
Clay,President,,DEM,Joseph R Biden Jr,790
Clay,President,,DEM,Dean Phillips,32
Clay,President,,DEM,Armando Perez-Serrato,13
Codington,President,,DEM,Marianne Williamson,72
Codington,President,,DEM,Joseph R Biden Jr,278
Codington,President,,DEM,Dean Phillips,73
Codington,President,,DEM,Armando Perez-Serrato,12
Corson,President,,DEM,Marianne Williamson,22
Corson,President,,DEM,Joseph R Biden Jr,54
Corson,President,,DEM,Dean Phillips,10
Corson,President,,DEM,Armando Perez-Serrato,9
Custer,President,,DEM,Marianne Williamson,25
Custer,President,,DEM,Joseph R Biden Jr,218
Custer,President,,DEM,Dean Phillips,20
Custer,President,,DEM,Armando Perez-Serrato,6
